venue,venue_type,toss_winner,toss_decision,batting_first,ind_batting_strength,ind_bowling_strength,afg_batting_strength,afg_bowling_strength,ind_recent_form,afg_recent_form,ind_icc_rank,afg_icc_rank,ind_player_form_idx,afg_player_form_idx,ind_score,afg_score,margin,winner,top_scorer,top_bowler,ind_h2h_win_pct,ind_avg_score,afg_avg_score
Chennai,Home_India,India,Bat,India,79.36350297118406,94.01428612819832,78.29984854528513,78.76914513653185,0.5624074561769746,0.362397808134481,1,9,61.742508365045985,75.98528437324805,367,302,65 runs,India,Mohammad Nabi,Naveen-ul-Haq,0.7592980276444792,367.0,302.0
Delhi,Home_India,India,Bat,India,70.51461235739507,94.39819704323989,80.81106602001054,69.88379954560035,0.5727299868828403,0.3733618039413735,1,9,69.12726728878613,65.74269294896713,268,230,38 runs,India,Mohammad Nabi,Jasprit Bumrah,0.8121122602911811,317.5,266.0
Dubai,Neutral,Afghanistan,Bat,Afghanistan,85.29632236805949,77.78987721304084,67.30361621338045,73.42632239575491,0.6824279936868144,0.6140703845572054,1,9,65.9902134647508,65.42703315240834,235,266,31 runs,Afghanistan,Rahmanullah Gurbaz,Fazalhaq Farooqi,0.7775344850138445,290.0,266.0
Kabul,Home_Afg,India,Bat,India,85.18862129753596,78.41048247374583,61.62628982463199,86.82436735682666,0.8862528132298237,0.6233589392465844,1,9,69.13841307520111,52.93016342019152,301,214,87 runs,India,Virat Kohli,Naveen-ul-Haq,0.7517634829052346,292.75,253.0
Sharjah,Neutral,India,Field,Afghanistan,73.05095587111947,84.9035382022254,60.85971302788046,85.91436924781199,0.6035119926400068,0.5650089137415928,1,9,69.35133228268234,65.60204063533432,203,200,8 wickets,India,Rahmanullah Gurbaz,Fazalhaq Farooqi,0.8052705766162878,274.8,242.4
Kabul,Home_Afg,India,Bat,India,94.23961569411397,90.5026564672223,83.48747353910473,85.58102905983593,0.739159991524434,0.6687496940092467,1,9,62.65477506155759,55.87948587257436,264,268,5 wickets,Afghanistan,Shubman Gill,Naveen-ul-Haq,0.8078447755852697,273.0,246.66666666666666
Kabul,Home_Afg,India,Bat,India,71.13068222276345,81.50660661526528,69.71693224223705,71.2410277307996,0.8314950036607718,0.44270133067743567,1,9,68.42803529062142,66.28088249474746,329,287,42 runs,India,Rohit Sharma,Mohammed Shami,0.7926569004711537,281.0,252.42857142857142
Chennai,Home_India,India,Field,Afghanistan,71.86376609199426,94.73773873201034,79.30611923241644,69.57046067528597,0.502208846849441,0.6261845713819336,1,9,81.20572031542852,71.87021504122961,234,259,25 runs,Afghanistan,Shubman Gill,Rashid Khan,0.7572286232550317,275.125,253.25
Delhi,Home_India,India,Field,Afghanistan,91.57758564688984,87.46596253655116,68.27245062131622,66.46184205657855,0.6243929286862648,0.4300733288106988,1,9,81.88818535014192,69.12672414065639,241,237,7 wickets,India,Ibrahim Zadran,Mohammed Siraj,0.8393342952804193,271.3333333333333,251.44444444444446
Sharjah,Neutral,Afghanistan,Field,India,72.98985614845755,89.26489574445989,79.01962621542243,77.90937554409841,0.8083868719818244,0.4975182385457563,1,9,75.68198488145983,62.82623055075649,285,289,5 wickets,Afghanistan,Rahmanullah Gurbaz,Jasprit Bumrah,0.811143080722789,272.7,255.2
